order_code,product_code,type,material,composition,width,length,height,not_before,not_after,quantity
R0071,N014,plate,PMMA,8%,1183,1039,2.0,2019-07-01,2019-08-12,6000
R0072,N034,lenti,PMMA,8%,1260,1630,2.0,2019-07-01,2019-08-12,3000
R0073,N031,lenti,PMMA,8%,965,1115,2.0,2019-07-01,2019-08-12,6000
R0074,N038,lenti,PMMA,8%,1100,1260,2.0,2019-07-01,2019-08-12,9000
R0075,N034,lenti,PMMA,8%,1260,1630,2.0,2019-07-01,2019-08-12,5000
R0076,N041,lenti,PMMA,8%,1295,1115,3.0,2019-07-01,2019-08-12,3000
R0077,N031,lenti,PMMA,8%,965,1115,2.0,2019-07-01,2019-08-12,20000
R0078,N038,lenti,PMMA,8%,1100,1260,2.0,2019-07-01,2019-08-12,14000
R0079,N043,lenti,PMMA,8%,1090,1260,2.0,2019-07-07,2019-08-18,9000
R0080,N009,lenti,PMMA,8%,1045,1370,2.0,2019-07-08,2019-08-19,3000
R0081,N028,lenti,PMMA,8%,1080,1180,2.0,2019-07-10,2019-08-21,6000
R0082,N031,lenti,PMMA,8%,965,1115,2.0,2019-07-11,2019-08-22,3000
R0083,N038,lenti,PMMA,8%,1100,1260,2.0,2019-07-12,2019-08-23,2000
R0084,N027,plate,PMMA,8%,1520,1292,2.0,2019-07-21,2019-09-01,11000
R0085,N006,plate,PMMA,8%,1486,1168,2.0,2019-07-24,2019-09-04,8000
R0086,N004,plate,PMMA,8%,1585,1096,2.0,2019-07-30,2019-09-10,16000
R0087,N024,plate,PMMA,8%,1210,1210,2.0,2019-07-31,2019-09-11,2000
R0088,N006,plate,PMMA,8%,1486,1168,2.0,2019-07-31,2019-09-11,2000
R0089,N019,lenti,PMMA,8%,1090,1260,2.05,2019-08-07,2019-09-18,1000
R0090,N007,lenti,PMMA,8%,1095,1260,2.0,2019-08-07,2019-09-18,1000
R0091,N031,lenti,PMMA,8%,965,1115,2.0,2019-08-12,2019-09-23,12000
R0092,N038,lenti,PMMA,8%,1100,1260,2.0,2019-08-15,2019-09-26,9000
R0093,N019,lenti,PMMA,8%,1090,1260,2.05,2019-08-16,2019-09-27,5000
R0094,N043,lenti,PMMA,8%,1090,1260,2.0,2019-08-22,2019-10-03,9000
R0095,N027,plate,PMMA,8%,1520,1292,2.0,2019-09-04,2019-10-16,5000
R0096,N012,plate,PMMA,8%,1160,1160,4.0,2019-09-12,2019-10-24,4000
R0097,N038,lenti,PMMA,8%,1100,1260,2.0,2019-09-27,2019-11-08,4000
R0098,N031,lenti,PMMA,8%,965,1115,2.0,2019-10-03,2019-11-14,9000
R0099,N038,lenti,PMMA,8%,1100,1260,2.0,2019-10-07,2019-11-18,14000
R0100,K023,lenti,PMMA,8%,1220,1381,2.5,2019-10-23,2019-12-04,14000
R0101,K037,lenti,PMMA,8%,1106,1253,2.5,2019-10-26,2019-12-07,9000
R0102,K023,lenti,PMMA,8%,1220,1381,2.5,2019-10-29,2019-12-10,9000
R0103,K037,lenti,PMMA,8%,1106,1253,2.5,2019-11-02,2019-12-14,12000
R0104,K023,lenti,PMMA,8%,1220,1381,2.5,2019-11-04,2019-12-16,6000
R0105,N005,plate,PMMA,8%,1110,970,3.0,2019-11-06,2019-12-18,1000
R0106,N013,plate,PMMA,8%,1262,1610,2.0,2019-11-07,2019-12-19,4000
R0107,N012,plate,PMMA,8%,1160,1160,4.0,2019-11-10,2019-12-22,8000
R0108,N040,plate,PMMA,100%,1220,2440,1.5,2019-11-13,2019-12-25,6000
R0109,N038,lenti,PMMA,8%,1100,1260,2.0,2019-11-18,2019-12-30,6000
R0110,N031,lenti,PMMA,8%,965,1115,2.0,2019-11-19,2019-12-31,9000
R0111,N038,lenti,PMMA,8%,1100,1260,2.0,2019-11-19,2019-12-31,6000
R0112,N019,lenti,PMMA,8%,1090,1260,2.05,2019-11-19,2019-12-31,3000
R0113,N033,plate,PMMA,8%,1245,1440,3.0,2019-11-19,2019-12-31,3000
R0114,N005,plate,PMMA,8%,1110,970,3.0,2019-11-19,2019-12-31,2000
R0115,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-01,2019-08-12,49000
R0116,N029,plate,PMMA,8%,1210,1210,3.0,2019-07-01,2019-08-12,2000
R0117,N004,plate,PMMA,8%,1585,1096,2.0,2019-07-01,2019-08-12,12000
